,Energy,Iterations,Dipole Moment,Eigens,Derivatives,Derivative Time,Wall Time
beryllium_monofluoride,-113.82502786,10,0.4412418,"[-24.07849991, -3.84308707, -1.06076075, -0.42190492, -0.37976449, -0.37976448, -0.1956645]","[2e-06, -1e-06, -0.00299, -1e-06, 1.4e-05, 0.004156]",-1,35.3
phosphorus_tribromide,-8052.28510741,24,0.1308883,"[-480.16767053, -480.16766171, -480.16764781, -76.11799002, -61.69618011, -61.69617366, -61.69616607, -55.66600954, -55.66600032, -55.66599524, -55.6629498, -55.66294376, -55.66293216, -55.66287591, -55.6628559, -55.66285109, -8.39645215, -8.39644718, -8.39644352, -6.38103657, -6.2919936, -6.29198837, -6.29198609, -6.28345552, -6.28345097, -6.28344703, -6.28323011, -6.28322457, -6.28322036, -4.62981184, -4.62981156, -4.62567115, -2.51431248, -2.51430268, -2.51429905, -2.51201976, -2.51201509, -2.51200566, -2.5118471, -2.51183893, -2.51183495, -2.50543712, -2.50543458, -2.5054317, -2.50542959, -2.50542726, -2.50542545, -0.78712395, -0.73440611, -0.73440362, -0.55770468, -0.39925785, -0.3992565, -0.35814467, -0.3104579, -0.31045668, -0.2818507, -0.28184859, -0.27201328, -0.25645073]","[-3.8e-05, -0.000183, 0.000637, 0.0003, -0.001584, 0.001507, -0.001077, 0.002061, 0.001712, 0.001012, 0.002346, 0.002262]",-1,828.6
sulfur_dioxide,-546.344928,14,0.5986942,"[-87.88841724, -18.67170447, -18.67170424, -7.78725045, -5.8428083, -5.83970941, -5.83592483, -1.0641452, -0.97237524, -0.57971953, -0.46489959, -0.45397673, -0.45147445, -0.3568441, -0.3313245, -0.30380923]","[-0.000186, 6.9e-05, 0.001607, 1e-06, -0.005909, -0.003683, 7e-06, 0.005907, -0.003688]",-1,88.9
methanethiol_radical,-436.34542912,12,0.7186454,"[-87.73851852, -9.81821331, -7.65210406, -5.71160599, -5.7045891, -5.69465688, -0.71704937, -0.57132, -0.40472958, -0.39780076, -0.34289952, -0.24741382, -0.21274364]","[-0.010396, 0.000822, 0.016587, 0.002962, -0.000519, -0.007056, 0.008844, -0.000305, -0.000593, -0.000802, 0.005181, -0.003707, -0.000789, -0.005481, -0.003586]",-1,103.3
hydroxyl_radical,-75.20780054,11,0.6480181,"[-18.68911207, -0.92943591, -0.43540538, -0.36669442, -0.30334138]","[9e-06, 1e-06, 0.013552, -1e-06, 1e-06, -0.014563]",-1,26.7
lithium_monosulfide,-404.22169628,11,2.668319,"[-87.66858062, -7.58289337, -5.64461764, -5.62952418, -5.62894467, -1.86609687, -0.55580973, -0.21778462, -0.20446099, -0.18228753]","[0.0, -1e-06, -0.002026, -0.0003, 6.4e-05, 0.004667]",-1,74.7
phosphorus_dioxide,-489.61067083,14,0.5084356,"[-76.1118977, -18.66996195, -18.66996183, -6.37968078, -4.62995334, -4.62706854, -4.62417572, -0.99093571, -0.94438062, -0.51727249, -0.425258, -0.41385996, -0.4123269, -0.34835302, -0.33865924, -0.27628526]","[-6.8e-05, -1.6e-05, -0.001425, 7e-06, -0.003606, 0.001707, 2e-06, 0.003602, 0.00171]",-1,159.2
formaldoxime_zwitterion,-168.55519874,13,1.328659,"[-18.60396064, -14.00991916, -9.83200332, -1.02786029, -0.78969836, -0.60512647, -0.50202765, -0.4439091, -0.42025241, -0.38341871, -0.22653242, -0.22167408]","[0.01455, -0.006258, -0.000366, 0.004356, 0.01696, 0.000879, -0.015548, -0.006778, -0.00019, 0.000919, 0.00263, -0.00014, -0.001237, -0.002325, 0.000181, -0.000642, -0.001501, -0.00052]",-1,50.5
tetrafluoroethylene,-472.58733527,12,4.707229e-07,"[-24.15918073, -24.15917999, -24.15917861, -24.15917445, -9.96921243, -9.96833791, -1.21576057, -1.20180445, -1.15833861, -1.14665249, -0.74727945, -0.6173274, -0.5807811, -0.57596873, -0.53361953, -0.51738652, -0.47331304, -0.4454015, -0.42276491, -0.41655886, -0.41380848, -0.41380326, -0.39297225, -0.24009828]","[-4e-06, -0.0, -0.02775, 3e-06, -0.0, 0.02775, -9e-06, 0.006591, 0.006962, -7e-06, -0.006591, 0.006962, 1.1e-05, -0.006591, -0.006962, 1.5e-05, 0.00659, -0.006962]",-1,132.1
boron_dioxide,-174.05239345,11,4.147426e-06,"[-18.69489677, -18.69489663, -6.51488748, -0.96187746, -0.96178616, -0.44388804, -0.43014946, -0.42873769, -0.40283346, -0.3671534, -0.33354153]","[-0.0, -3e-06, 1e-06, -0.0, -1.3e-05, 0.005766, -5e-06, -3e-06, -0.005765]",-1,65.0
cyano_radical,-91.95684833,13,0.4497544,"[-13.9368845, -9.9111145, -0.87793086, -0.44444404, -0.36384583, -0.36384583, -0.35867478]","[-1e-06, -1e-06, -0.013191, -0.0, -0.0, 0.012701]",-1,42.9
boron_nitride,-78.71120494,13,0.7283873,"[-13.92871227, -6.53621166, -0.77239749, -0.36538497, -0.3390119, -0.30200144, -0.28490762]","[-0.0, -1e-06, -0.004155, 0.0, 0.0, 0.001822]",-1,39.7
acetyl_chloride,-610.82676197,13,1.098062,"[-100.32700882, -18.64407179, -9.93862031, -9.82285186, -9.14956635, -7.00667748, -6.99912071, -6.99732927, -1.00737889, -0.78510375, -0.69536267, -0.51439047, -0.45344882, -0.44191574, -0.43243388, -0.37893415, -0.36974246, -0.29959781, -0.29247177, -0.26744542]","[-0.00729, 0.004405, -1e-06, -0.000427, -0.008423, -0.0, 0.000731, 0.008328, 1e-06, -0.002435, 0.001149, -0.000181, 0.004816, -0.002087, -0.0, 0.00249, -0.001474, 0.003914, 0.00249, -0.001474, -0.003914]",-1,115.7
magnesium_diatomic,-398.28504067,9,1.806872e-05,"[-45.97408723, -45.97408288, -2.90466732, -2.90466557, -1.72001436, -1.72001432, -1.72001271, -1.72001268, -1.7195716, -1.71954798, -0.19555543, -0.16080354]","[0.0, -3.3e-05, -0.002058, -3.9e-05, 3.4e-05, 0.00203]",-1,41.0
methyl_chloride,-498.28866096,11,0.7294393,"[-100.31310141, -9.84268715, -9.13488006, -6.9937396, -6.9827115, -6.98271138, -0.77996714, -0.6093066, -0.39946032, -0.39945809, -0.38725487, -0.26422665, -0.26422611]","[0.0, -0.000132, 0.009665, 0.000406, 7e-05, 0.007475, -0.0, 0.007793, -0.006943, 0.006728, -0.003888, -0.006938, -0.006728, -0.003889, -0.006938]",-1,54.5
dimethyl_ether,-153.79674148,11,0.4742022,"[-18.61324302, -9.8202445, -9.82023958, -0.94780253, -0.65554898, -0.57355427, -0.43604755, -0.42925312, -0.42898734, -0.35410003, -0.33819621, -0.28072155, -0.21810244]","[-1.6e-05, 0.0, -0.001227, 3e-06, 0.01735, -0.009361, 4e-06, -0.01735, -0.009361, 0.0, 0.000723, -0.002799, 0.0, -0.000723, -0.002799, -0.005135, -0.00279, 0.006229, 0.005135, -0.002789, 0.006229, 0.005135, 0.002789, 0.006229, -0.005135, 0.00279, 0.006229]",-1,49.8
methyl_ketene,-190.38772407,11,0.7463485,"[-18.66636796, -9.89299573, -9.79864719, -9.79710259, -1.01787306, -0.72937634, -0.62178826, -0.47879026, -0.44894812, -0.4189063, -0.40894303, -0.37515324, -0.36642718, -0.34532587, -0.20476834]","[0.006815, -0.001679, 0.0, -0.009123, 0.01616, -3e-06, -0.012683, -0.008399, 8e-06, 0.004617, -0.002515, -1.9e-05, 0.001116, -0.008559, 4e-06, -0.001544, 0.006178, 9e-06, 0.00439, -0.000916, 0.005726, 0.004384, -0.000914, -0.005729]",-1,54.8
tetrafluorosilane,-685.72939457,12,0.000157232,"[-65.24305325, -24.13419078, -24.13415588, -24.1341455, -24.13413757, -5.13376269, -3.5737628, -3.57376198, -3.57376069, -1.16302298, -1.12552996, -1.12552253, -1.12551505, -0.56492718, -0.4997942, -0.49978983, -0.49978592, -0.44702122, -0.44702065, -0.43961145, -0.4396104, -0.43960892, -0.40197779, -0.40197472, -0.40197091]","[3.4e-05, -5.4e-05, 5.4e-05, -0.001352, -0.001262, -0.001366, 0.00138, 0.00127, -0.001408, 0.001363, -0.001237, 0.001287, -0.00133, 0.001314, 0.001285]",-1,144.4
silicon_monosulfide,-685.23735372,11,0.6077293,"[-87.71990429, -65.17008324, -7.63721404, -5.68817905, -5.68817894, -5.68673581, -5.0654086, -3.5072175, -3.50721733, -3.50035247, -0.65198044, -0.40251795, -0.26978412, -0.26978409, -0.25862728]","[8e-06, 2.2e-05, 0.004253, -0.000325, 0.00024, -0.000167]",-1,63.5
sulfur_monochloride,-855.56688288,12,0.08920814,"[-100.37496561, -87.78513283, -9.19476164, -7.69623099, -7.05267174, -7.04660908, -7.04091037, -5.75348505, -5.75270939, -5.73758853, -0.83414479, -0.62848356, -0.4098636, -0.37403075, -0.35662144, -0.25467688, -0.22612151]","[-0.000128, -0.000105, -0.008647, 4.4e-05, 0.000108, 0.007748]",-1,137.9
neon_dimer,-256.46735113,9,3.312773e-06,"[-30.30635183, -30.30635025, -1.32342659, -1.32279432, -0.50227071, -0.49890975, -0.49890958, -0.49774409, -0.49774396, -0.49461278]","[2.6e-05, -2.6e-05, -3.5e-05, -2.6e-05, 9e-06, 2.8e-05]",-1,26.5
formaldoxime,-168.55967026,11,0.113528,"[-18.65759421, -13.9293498, -9.81876316, -1.00301338, -0.79156972, -0.55966935, -0.49067426, -0.42557708, -0.38029191, -0.38005797, -0.25363571, -0.24719835]","[0.01479, -0.017394, 5e-06, 0.004984, 0.019877, 4e-06, -0.025674, -0.000852, 2e-05, -0.000609, 0.008498, 0.0, -0.004025, -0.000799, 0.0, 0.012471, -0.011769, 1e-06]",-1,44.5
lithium_chloride,-466.20801171,11,2.686199,"[-100.2216258, -9.04504703, -6.89683172, -6.89622504, -6.89622492, -1.86937495, -0.64486818, -0.24240468, -0.22102414, -0.22102411]","[0.0, 0.0, -0.003011, -0.0, 8e-06, 0.008283]",-1,41.9
isopropyl_radical,-117.38083918,11,0.1431906,"[-9.79325369, -9.77375813, -9.77375433, -0.70793998, -0.62336219, -0.50951193, -0.40991662, -0.38666576, -0.36872538, -0.34497749, -0.31591888, -0.30759237, -0.14872342]","[-0.005158, 0.017324, 0.0, 0.004589, -0.010668, 0.015914, 0.004592, -0.010671, -0.015912, 0.000425, -0.005993, -0.0, 0.00035, -0.002394, -0.003735, 0.00035, -0.002394, 0.003735, -0.005276, 0.002532, -0.001141, 0.002347, 0.004957, 4.8e-05, 0.002347, 0.004957, -4.8e-05, -0.005276, 0.002532, 0.001141]",-1,88.5
cyanogen,-184.17022235,11,6.487774e-07,"[-13.93651591, -13.93651491, -9.90053514, -9.90007662, -0.90278549, -0.88623279, -0.69191342, -0.42597198, -0.42597197, -0.3830837, -0.3731647, -0.35424083, -0.35424082]","[2e-06, 2e-06, 0.036231, -1e-06, 2e-06, -0.03623, -1e-06, 3e-06, -0.017477, -1e-06, -1e-06, 0.017477]",-1,54.7
boron_monohydride,-24.9779181,9,0.6277085,"[-6.53659715, -0.43962677, -0.20316702]","[0.0, 0.0, 0.008288, 0.0, 0.0, -0.008853]",-1,9.7
thiirane,-474.74754387,12,0.7202428,"[-87.71813374, -9.82593711, -9.82573805, -7.63290076, -5.68837386, -5.68546252, -5.67674388, -0.79427113, -0.56078713, -0.56062484, -0.45126383, -0.41383244, -0.34510785, -0.3005146, -0.29198133, -0.2005886]","[0.000218, 0.000304, 0.002657, -0.0, 0.014352, -0.00883, -0.0, -0.014352, -0.008829, 0.00501, -0.003053, 0.001789, -0.00501, -0.003053, 0.001789, -0.00501, 0.003053, 0.00179, 0.00501, 0.003053, 0.00179]",-1,74.3
sodium_chloride,-620.28376143,12,3.340914,"[-100.20331632, -37.74041697, -9.02605493, -6.87850564, -6.87702109, -6.87702097, -2.08661728, -1.08414471, -1.08414468, -1.08242548, -0.62173262, -0.21733288, -0.19951538, -0.19951519]","[-3.6e-05, -1.8e-05, -0.002805, -0.000401, 0.000298, 0.003953]",-1,61.0
magnesium_sulfide,-595.99376427,14,2.840042,"[-87.66187641, -46.02908783, -7.57628464, -5.63228428, -5.6244444, -5.62444412, -2.9625092, -1.77754048, -1.77688618, -1.77688612, -0.5487771, -0.24740126, -0.18403207, -0.18403206]","[-6e-06, -5e-06, -0.005369, -0.000179, -0.000205, 0.004211]",-1,84.6
methyl_silane,-329.6652408,10,0.3240507,"[-65.10220441, -9.77321255, -5.00542664, -3.44429347, -3.4442932, -3.44383036, -0.63475297, -0.46957483, -0.37141343, -0.37140359, -0.29434485, -0.29433823, -0.29415336]","[-0.0, -6e-05, -0.006188, 2e-05, 0.000774, 0.006636, -0.0, -0.002268, 0.000661, 0.001936, 0.001124, 0.000651, -0.001936, 0.001124, 0.000651, -0.0, 0.003606, -0.001714, 0.00314, -0.001819, -0.001718, -0.00314, -0.001819, -0.001717]",-1,46.8
aluminum_trichloride,-1617.88139646,11,2.222916e-05,"[-100.32999834, -100.32999636, -100.3299669, -55.19669363, -9.1537487, -9.15374681, -9.15374067, -7.00787707, -7.0078744, -7.00787308, -7.00417718, -7.00417449, -7.00417336, -7.00319001, -7.00318974, -7.00318837, -3.98006, -2.61248857, -2.60707068, -2.6070702, -0.77492041, -0.75861242, -0.7586118, -0.43179151, -0.37159219, -0.37159111, -0.33962522, -0.32234347, -0.32234279, -0.31703976, -0.31703859, -0.29934712]","[5e-06, 5e-06, -0.001012, -0.000118, -6.3e-05, 0.0044, 0.000206, 0.003442, -0.000906, 0.000178, -0.003223, -0.000773]",-1,160.1
methanethiol,-436.98372197,16,0.6300243,"[-87.71557943, -9.81506598, -7.63231858, -5.68768822, -5.68365875, -5.67670661, -0.71242751, -0.58291789, -0.40819465, -0.38779537, -0.36394055, -0.29419556, -0.20743442]","[-0.008313, -0.00843, 0.000143, 0.004321, 0.020613, -1.9e-05, 0.002141, -0.01409, -2.6e-05, 0.003455, 0.003006, -0.002216, -0.004534, -0.005304, 7.7e-05, 0.003724, 0.002658, 0.001884]",-1,73.7
hypochlorous_acid,-534.01720446,12,0.6017497,"[-100.36467677, -18.68201187, -9.18265449, -7.04634271, -7.02889155, -7.0284736, -0.99102958, -0.7343942, -0.49743866, -0.41407932, -0.37190617, -0.28486181, -0.2485005]","[0.010577, 0.010916, -2e-06, -0.004415, -0.012139, 0.0, 0.00206, 0.002569, 0.000304]",-1,58.6
lithium_hydride,-7.91961413,10,2.208204,"[-1.84157104, -0.16132813]","[0.0, 0.0, 0.000765, -0.0, -0.0, -0.000724]",-1,7.8
monosulfur_monofluoride,-496.04864882,13,0.222829,"[-87.81367032, -24.15558825, -7.72203585, -5.78112559, -5.77902808, -5.7619733, -1.151426, -0.66971776, -0.4731287, -0.45592202, -0.43989373, -0.26863918, -0.2336224]","[0.000191, -0.000181, -0.003465, 3e-06, -0.0, 0.003645]",-1,103.4
ammonia,-56.1104214,10,0.6010884,"[-13.83792326, -0.77448036, -0.41708726, -0.41707037, -0.23076354]","[-0.000574, 0.0, -0.003611, 0.008101, -0.0, 0.00197, -0.004032, -0.006986, 0.001952, -0.004031, 0.006986, 0.001952]",-1,16.0
