,Energy,Iterations,Dipole Moment,Eigens,Derivatives,Derivative Time,Wall Time
beryllium_monofluoride,-114.17287975,10,0.5013262,"[-26.26249176, -4.72720521, -1.55579949, -0.69489124, -0.63196836, -0.63196833, -0.33830462]","[0.0, -0.0, -0.007765, 3.5e-05, 3e-06, 0.007509]",-1,67.6
phosphorus_tribromide,-8058.22341485,20,0.1848022,"[-490.0474186, -490.04739616, -490.04739563, -80.09215998, -65.18787405, -65.18786639, -65.18786125, -58.54289409, -58.54286981, -58.54285233, -58.54201656, -58.54199305, -58.54198986, -58.54197145, -58.54196241, -58.54195192, -9.86096514, -9.86096474, -9.86096081, -7.62291588, -7.47123793, -7.47123711, -7.47123683, -7.46642126, -7.46641864, -7.46641622, -7.46626281, -7.46625957, -7.46625506, -5.51425966, -5.51425846, -5.51322802, -3.21470399, -3.21469868, -3.21469795, -3.21198808, -3.21198361, -3.21198329, -3.21182654, -3.21182614, -3.21182091, -3.20509242, -3.20508571, -3.20508518, -3.20508483, -3.20508455, -3.20507661, -1.10086522, -1.02738443, -1.02738414, -0.77722937, -0.55354148, -0.55354109, -0.52493007, -0.46574161, -0.46573876, -0.42797384, -0.42797285, -0.41965702, -0.38133194]","[2.1e-05, -7.6e-05, 0.001891, 0.000125, -0.001722, 0.000584, -0.00029, 0.001076, 0.000925, 0.000304, 0.001096, 0.001]",-1,2580.9
sulfur_dioxide,-547.32724616,13,0.7885284,"[-92.16993631, -20.62473304, -20.62470541, -9.15003536, -6.83200976, -6.83102651, -6.82991533, -1.50359236, -1.40169185, -0.86856359, -0.70110297, -0.69439029, -0.66501503, -0.54639403, -0.52543662, -0.49775887]","[-0.00019, 2.3e-05, -0.059893, 5e-06, 0.057213, 0.02897, 8e-06, -0.057213, 0.028967]",-1,183.1
methanethiol_radical,-437.16122784,12,0.6712872,"[-91.96968637, -11.25953155, -8.9707332, -6.66699597, -6.64832091, -6.64731413, -1.05129219, -0.85922396, -0.60773129, -0.59970079, -0.50059062, -0.4313718, -0.36828657]","[-0.006133, 0.000504, -0.009812, 0.002938, -0.000419, 0.001704, -0.004016, -7.7e-05, 0.005054, 0.003512, -0.006788, 0.000606, 0.003632, 0.006539, 0.00076]",-1,215.0
hydroxyl_radical,-75.42804266,12,0.6910944,"[-20.63786083, -1.38904618, -0.68279456, -0.65894442, -0.56182836]","[4e-05, 5.7e-05, -0.016579, -2e-06, -0.0, 0.020199]",-1,60.9
lithium_monosulfide,-405.0215471,11,2.892043,"[-91.88451862, -8.88598775, -6.58142219, -6.56358535, -6.56353438, -2.47504166, -0.85448225, -0.38435688, -0.34564942, -0.31767102]","[1e-06, -0.0, 0.002362, -0.000343, 8e-05, -0.001481]",-1,153.1
phosphorus_dioxide,-490.55593464,12,0.7670752,"[-80.09437566, -20.61670478, -20.61669059, -7.62659036, -5.52530669, -5.52096521, -5.5169809, -1.42888436, -1.37867747, -0.792512, -0.67751906, -0.64488097, -0.61299442, -0.55098998, -0.53082167, -0.48036695]","[-4.9e-05, -6e-06, 0.038151, 3e-06, 0.050776, -0.018696, 3e-06, -0.050776, -0.018697]",-1,321.3
formaldoxime_zwitterion,-168.89559967,14,1.757116,"[-20.52498571, -15.7377972, -11.30092903, -1.45086191, -1.15467389, -0.8947152, -0.75350553, -0.67358276, -0.61767681, -0.59329863, -0.43344877, -0.35316936]","[0.046935, -0.018818, -0.000632, -0.034237, 0.004307, 0.001602, -0.021883, -0.009273, -0.000166, 0.001427, -0.01203, -0.000211, 0.009737, 0.007046, 0.000356, -0.000614, 0.028742, -0.000931]",-1,120.2
tetrafluoroethylene,-473.65235691,11,9.357658e-07,"[-26.36590969, -26.36590556, -26.36589528, -26.36587924, -11.44652649, -11.44465854, -1.72943965, -1.71400048, -1.6663307, -1.65587094, -1.10819486, -0.91897207, -0.86710376, -0.84408728, -0.8070186, -0.79008047, -0.76488693, -0.74055866, -0.7174404, -0.71072672, -0.69702683, -0.68111547, -0.67972329, -0.40998837]","[0.0, -0.0, -0.014954, -1e-06, -0.0, 0.014954, -1.5e-05, 0.026583, 0.018072, -1.2e-05, -0.026582, 0.018072, 1.7e-05, -0.026584, -0.018073, 1.3e-05, 0.026583, -0.018072]",-1,280.3
boron_dioxide,-174.5124238,14,7.442077e-06,"[-20.66239242, -20.66237605, -7.67513834, -1.43436449, -1.43252621, -0.71994446, -0.70335738, -0.7033072, -0.64978968, -0.64684517, -0.57877542]","[4e-06, 1e-06, -1e-06, -2.4e-05, -4e-06, 0.021685, 1.2e-05, 2.6e-05, -0.021685]",-1,162.8
cyano_radical,-92.24251242,25,0.8583745,"[-15.60359185, -11.35709715, -1.24292504, -0.74240469, -0.56765324, -0.52011883, -0.52011815]","[-8e-06, -6e-06, -0.040284, -6e-06, 9e-06, 0.039443]",-1,139.9
boron_nitride,-79.02135898,21,1.109936,"[-15.60033196, -7.70659791, -1.13571227, -0.59509486, -0.51139971, -0.49435137, -0.4313536]","[0.0, 3e-06, -0.046212, 7e-06, -2e-05, 0.045644]",-1,146.7
acetyl_chloride,-611.94492162,13,1.216384,"[-104.84774776, -20.59242867, -11.41290598, -11.27273294, -10.57337851, -8.0400295, -8.03881205, -8.03876623, -1.44752533, -1.13606476, -1.02633588, -0.77748633, -0.67794868, -0.67110794, -0.64145789, -0.57898051, -0.55324477, -0.46957879, -0.46880064, -0.45475047]","[-0.009175, -0.042534, -0.0, -0.015725, 0.010115, -0.0, 0.016511, 0.05455, -1e-06, -0.010505, -0.00397, -0.000101, 0.017599, 0.000369, 0.0, 0.000284, -0.009526, 0.013911, 0.000284, -0.009526, -0.013911]",-1,241.1
magnesium_diatomic,-399.22656722,8,9.893384e-07,"[-49.03144617, -49.03144095, -3.76750281, -3.76749791, -2.28208498, -2.2820622, -2.28206056, -2.2820599, -2.28205914, -2.28204753, -0.28301743, -0.22687754]","[1.6e-05, -3.8e-05, 0.00395, -5.5e-05, 1.3e-05, -0.00395]",-1,59.5
methyl_chloride,-499.15388121,11,0.8012971,"[-104.82834643, -11.29709788, -10.55310384, -8.01998424, -8.01870651, -8.01870633, -1.12627075, -0.90847768, -0.60584456, -0.60584298, -0.55113754, -0.43644327, -0.43644297]","[2e-06, -0.000125, 0.032701, 0.000108, 3.4e-05, 0.009302, 0.0, 0.020393, -0.012983, 0.017639, -0.010189, -0.012979, -0.017639, -0.010189, -0.012979]",-1,111.2
dimethyl_ether,-154.14021821,11,0.5710893,"[-20.55107711, -11.26909511, -11.26907309, -1.37191774, -0.96644413, -0.87365313, -0.66273386, -0.65085387, -0.63444945, -0.55134415, -0.52966005, -0.4788046, -0.4240925]","[-1.5e-05, -2e-06, 0.009708, 5e-06, 0.008493, -0.005516, -2e-06, -0.008491, -0.005515, 0.0, 0.011246, 0.004944, 0.0, -0.011247, 0.004944, 0.006485, -0.003537, -0.002446, -0.006485, -0.003537, -0.002445, -0.006484, 0.00354, -0.002443, 0.006485, 0.003536, -0.002446]",-1,94.2
methyl_ketene,-190.84774686,12,0.8818609,"[-20.61632342, -11.37085074, -11.2432376, -11.24081341, -1.46021336, -1.08272016, -0.93283234, -0.74352199, -0.68283364, -0.63850976, -0.61837979, -0.579968, -0.55697462, -0.53368858, -0.34655549]","[-0.035891, 0.015018, -1.5e-05, -0.021919, 0.000235, -9e-06, 0.002948, 0.004229, -5e-06, 0.057846, -0.02291, 2e-06, -0.001982, 0.006109, 1.2e-05, 0.001918, -0.004518, 9e-06, -0.002558, 0.000653, -0.004098, -0.002561, 0.000645, 0.004101]",-1,118.2
tetrafluorosilane,-687.21572568,10,4.902772e-05,"[-68.91922732, -26.33610656, -26.33606373, -26.33606034, -26.33605714, -6.25244418, -4.36222386, -4.36222374, -4.36222317, -1.67481425, -1.6370263, -1.63702405, -1.63702131, -0.85952824, -0.78344586, -0.78344565, -0.78344284, -0.73133223, -0.73133145, -0.71464032, -0.71463666, -0.71463399, -0.67959324, -0.67958883, -0.67958822]","[2.9e-05, -6e-05, -4e-06, 0.010032, 0.01006, 0.010014, -0.010027, -0.010059, 0.010046, -0.01002, 0.010056, -0.010055, 0.010052, -0.010046, -0.010032]",-1,303.4
silicon_monosulfide,-686.51629299,11,0.8939703,"[-91.93902849, -68.83744723, -8.9426414, -6.62312117, -6.62245334, -6.62245318, -6.18205494, -4.28300149, -4.28293686, -4.28293567, -0.94092417, -0.57322064, -0.39057967, -0.38911525, -0.38911519]","[2.5e-05, 6e-06, -0.016061, -0.000245, 0.000172, 0.01632]",-1,139.5
sulfur_monochloride,-857.04987814,14,0.1502092,"[-104.87742368, -92.03461425, -10.60126588, -9.03247834, -8.06917081, -8.06715388, -8.06603103, -6.72768498, -6.70988042, -6.70800289, -1.17731447, -0.92705596, -0.56952583, -0.56422404, -0.54092747, -0.43384538, -0.38437963]","[-0.000102, -0.000104, 0.006151, 4.2e-05, 5.4e-05, -0.004458]",-1,358.2
neon_dimer,-257.09410114,10,3.274713e-07,"[-32.77231281, -32.77231029, -1.93061601, -1.93003769, -0.85404537, -0.8508243, -0.85082425, -0.84984509, -0.84984505, -0.84673914]","[-9e-06, 7e-06, 0.000564, 1.3e-05, -4e-06, -0.000562]",-1,60.1
formaldoxime,-168.92631785,12,0.2749052,"[-20.59906058, -15.63717192, -11.27681282, -1.42726234, -1.15864639, -0.82774913, -0.72671879, -0.652698, -0.59575663, -0.59485406, -0.45552897, -0.40742032]","[0.033322, -0.031582, 2e-06, -0.017959, 0.048508, -1e-06, -0.007409, -0.030637, -2.3e-05, -0.002202, -0.007483, 0.0, 0.007484, 0.007909, 1e-06, -0.012027, 0.014799, 0.0]",-1,92.4
lithium_chloride,-467.05616094,10,2.858189,"[-104.72896709, -10.45501755, -7.92153239, -7.92128568, -7.92128541, -2.47865676, -0.97281837, -0.40802198, -0.38009977, -0.38009973]","[-0.0, -1e-06, 0.002624, -0.000112, 3.4e-05, 0.002938]",-1,82.4
isopropyl_radical,-117.68925763,11,0.09246573,"[-11.22575098, -11.2128419, -11.21280464, -1.06298782, -0.93491876, -0.78891724, -0.61874032, -0.59932598, -0.56290316, -0.53718527, -0.49650575, -0.4911083, -0.32913415]","[-0.001418, -0.009178, -2e-06, -0.000555, 0.004846, -0.008288, -0.000559, 0.004851, 0.008289, 0.001231, 0.007197, -0.0, -0.001745, 0.004266, 0.005439, -0.001745, 0.004266, -0.005439, 0.006249, -0.002634, 0.00131, -0.004117, -0.005599, -0.000526, -0.004117, -0.005599, 0.000526, 0.006249, -0.002634, -0.00131]",-1,167.3
cyanogen,-184.66514667,11,1.624891e-06,"[-15.65184438, -15.65183812, -11.35259066, -11.35150516, -1.30376379, -1.27905153, -0.97741762, -0.63987903, -0.6243788, -0.60178948, -0.60178947, -0.50034103, -0.50034101]","[-1e-06, 0.0, -0.071435, -1e-06, 3e-06, 0.071435, 5e-06, 0.0, 0.071453, -0.0, 3e-06, -0.071453]",-1,109.4
